ActivityDisplayName,AADOperationType,Category
Update eligible member in PIM requested (extend),CreateRequestExtendEligibleRole,ResourceManagement
Add member to role in PIM requested (timebound),CreateRequestGrantedRole,ResourceManagement
Remove member from role in PIM requested (timebound),CreateRequestGrantedRoleRemoval,ResourceManagement
Add eligible member to role in PIM requested (permanent),CreateRequestPermanentEligibleRole,ResourceManagement
Remove eligible member from role in PIM requested (permanent),CreateRequestPermanentEligibleRoleRemoval,ResourceManagement
Add member to role in PIM requested (permanent),CreateRequestPermanentGrantedRole,ResourceManagement
Remove member from role in PIM requested (permanent),CreateRequestPermanentGrantedRoleRemoval,ResourceManagement
Add member to role requested (PIM activation),CreateRequestRoleActivation,ResourceManagement
Remove member from role requested (PIM deactivate),CreateRequestRoleDeactivation,ResourceManagement
Onboarded resource to PIM,CreateResource,ResourceManagement
Process role update request,CreateRoleUpdateRequest,ResourceManagement
Remove member from role completed (PIM deactivate),DeactivateRole,ResourceManagement
Offboarded resource from PIM,OffboardResource,ResourceManagement
Onboarded resource to PIM,OnboardResource,ResourceManagement
Remove member from role (PIM activation expired),RemoveActivatedRole,ResourceManagement
Remove eligible member from role in PIM completed (timebound),RemoveEligibleRole,ResourceManagement
Resolve PIM alert,ResolveAlert,ResourceManagement
Update role setting in PIM,UpdatePolicy,ResourceManagement
Triggered PIM alert,ActivateAlert,RoleManagement
Add member to role completed (PIM activation),ActivateRole,RoleManagement
Remove member from role in PIM completed (timebound),AdminRemoveGrantedRole,RoleManagement
Remove eligible member from role in PIM completed (permanent),AdminRemovePermanentEligibleRole,RoleManagement
Remove member from role in PIM completed (permanent),AdminRemovePermanentGrantedRole,RoleManagement
Add eligible member to role,Assign,RoleManagement
Add member to role,Assign,RoleManagement
Add eligible member to role in PIM completed (permanent),AssignPermanentEligibleRole,RoleManagement
Add member to role in PIM completed (permanent),AssignPermanentGrantedRole,RoleManagement
Add member to role in PIM requested (timebound),CreateRequestGrantedRole,RoleManagement
Add eligible member to role in PIM requested (permanent),CreateRequestPermanentEligibleRole,RoleManagement
Remove eligible member from role in PIM requested (permanent),CreateRequestPermanentEligibleRoleRemoval,RoleManagement
Add member to role in PIM requested (permanent),CreateRequestPermanentGrantedRole,RoleManagement
Remove member from role in PIM requested (permanent),CreateRequestPermanentGrantedRoleRemoval,RoleManagement
Add member to role requested (PIM activation),CreateRequestRoleActivation,RoleManagement
Remove member from role requested (PIM deactivate),CreateRequestRoleDeactivation,RoleManagement
Process role update request,CreateRoleUpdateRequest,RoleManagement
Remove member from role completed (PIM deactivate),DeactivateRole,RoleManagement
Offboarded resource from PIM,OffboardResource,RoleManagement
Remove member from role (PIM activation expired),RemoveActivatedRole,RoleManagement
Remove eligible member from role in PIM completed (timebound),RemoveEligibleRole,RoleManagement
Remove permanent eligible role assignment,RemovePermanentEligibleRole,RoleManagement
Resolve PIM alert,ResolveAlert,RoleManagement
Add member to role outside of PIM (permanent),RoleElevatedOutsidePimAlert,RoleManagement
Remove eligible member from role,Unassign,RoleManagement
Remove member from role,Unassign,RoleManagement
Update role,Update,RoleManagement
Update role setting in PIM,UpdatePolicy,RoleManagement
Delete external user,,UserManagement
Fraud reported - no action taken,,UserManagement
Fraud reported - user is blocked for MFA,,UserManagement
Redeem external user invite,,UserManagement
User registered security info,,UserManagement
Viral user creation,,UserManagement
Add FIDO2 security key,Add,UserManagement
Add passwordless phone sign-in credential,Add,UserManagement
Add user,Add,UserManagement
Add Windows Hello for Business credential,Add,UserManagement
Bulk invite users - finished (bulk),Add,UserManagement
Bulk invite users - started (bulk),Add,UserManagement
Create business flow,Add,UserManagement
Invite external user,Add,UserManagement
Invite external user with reset invitation status,Add,UserManagement
User cancelled security info registration,Add,UserManagement
User registered all required security info,Add,UserManagement
User registered security info,Add,UserManagement
User started security info registration,Add,UserManagement
Add a deletion-marked app role assignment grant to user as part of link removal,Assign,UserManagement
Add app role assignment grant to user,Assign,UserManagement
Delete business flow,Delete,UserManagement
Delete FIDO2 security key(s),Delete,UserManagement
Delete passwordless phone sign-in credential,Delete,UserManagement
Delete user,Delete,UserManagement
Hard Delete user,Delete,UserManagement
Remove users strong authentication phone app detail,Delete,UserManagement
User deleted security info,Delete,UserManagement
Restore user,Restore,UserManagement
 User registered security info,ServiceApi,UserManagement
Admin deleted security info,ServiceApi,UserManagement
Admin registered security info,ServiceApi,UserManagement
Admin updated security info,ServiceApi,UserManagement
Remove app role assignment from user,Unassign,UserManagement
Approve all requests in business flow,Update,UserManagement
Auto apply review,Update,UserManagement
Auto Review,Update,UserManagement
Change password (self-service),Update,UserManagement
Change user license,Update,UserManagement
Change user password,Update,UserManagement
Disable account,Update,UserManagement
Enable account,Update,UserManagement
Request approved,Update,UserManagement
Request denied,Update,UserManagement
Reset password (by admin),Update,UserManagement
Reset password (self-service),Update,UserManagement
Reset user password,Update,UserManagement
Security info saved for self-service password reset,Update,UserManagement
Self-service password reset flow activity progress,Update,UserManagement
Set user manager,Update,UserManagement
Unlock user account (self-service),Update,UserManagement
Update business flow,Update,UserManagement
Update external secrets,Update,UserManagement
Update StsRefreshTokenValidFrom Timestamp,Update,UserManagement
Update user,Update,UserManagement
Updated ConvergedUXV2 feature value,Update,UserManagement
User changed default security info,Update,UserManagement
User completed security info registration for self-service password reset,Update,UserManagement
User reviewed security info,Update,UserManagement
User started security info registration for self-service password reset,Update,UserManagement
